,origin,destination
472,2877021,26574010
473,2871295,214821010
474,17046374,2871295
475,2874205,141158875
476,215282409,2870542
477,212420534,2876274
478,18981201,1215355
479,2878623,30155285
480,2870829,8368595
481,2871896,16921108
482,2877363,85938636
483,7572268,2871295
484,2878623,14113467
485,40549441,2871678
486,11969219,118865242
487,2871295,53260169
488,58910297,2872580
489,46395485,2879270
490,18980811,25969147
491,123625612,119440560
492,2871678,12200739
493,84886077,25409613
494,118865242,38461130
495,2871678,5809840
496,2875502,18973129
497,2871678,4105768
498,117809371,118869512
499,53053599,118865242
500,8162968,2871295
501,21932941,2871295
502,1957598,2871678
503,15153054,2877021
504,84886010,210975283
505,18982341,154027071
506,6362510,2874910
507,6846280,2878623
508,2871295,16398629
509,2876862,77760284
510,83999818,2871678
511,35713890,2871678
512,2870252,15484433
513,7755702,2874048
514,130326343,84885702
515,2871678,53771079
516,2875502,208730762
517,18981111,52581946
518,37614612,2871678
519,32356360,84886782
520,2877363,4783454
521,84043824,84880210
522,147015306,147015306
523,103540727,84881740
524,123624112,120025015
525,199664249,157798250
526,84884060,23856360
527,2871678,24196730
528,18982127,65172079
529,73491930,123620064
530,2873021,17339461
531,31440087,2878623
532,2878623,3104131
533,2871295,15881551
534,208086885,94551461
535,23216075,2879848
536,84886187,85653086
537,123621513,55958354
538,748374,2878623
539,58552817,123624419
540,118869512,127130680
541,3617826,2871678
542,2878772,6622412
543,18981201,15498432
544,2871844,151927885
545,2871844,466343
546,10016510,2871678
547,2871678,195797637
548,2871678,215118134
549,2877021,49475002
550,84886121,22962090
551,157288398,18982341
552,84880210,23981935
553,33950574,2874205
554,215605518,2870829
555,2876496,17611426
556,1600786,2878623
557,211214438,123622228
558,73532355,118869865
559,11163683,118865242
560,82601075,84887524
561,18985384,91779747
562,84881737,53469992
563,4371887,2871678
564,4004391,123622228
565,55055819,18988104
566,2354177,2871295
567,4373732,118869512
568,2874147,215091348
569,84886077,24339791
570,18986705,1886952
571,2876862,1563959
572,28716537,2871678
573,127661540,116985999
574,119303304,199665542
575,2878772,11254783
576,15249771,118865242
577,7755633,18980463
578,2878623,44944394
579,84881740,115283312
580,125224639,2874205
581,196638579,18985384
582,27597262,2879848
583,84177939,2870252
584,169038737,2873723
585,2871678,24285886
586,607614,84886782
587,123624686,152282995
588,2876274,206205589
589,12959611,2871678
590,2871678,508471
591,2875102,213389404
592,17661921,2878623
593,118865242,85444226
594,118865242,9933974
595,55710262,18988104
596,2870829,93145146
597,10263928,2871295
598,94550656,111338160
599,2871678,1082141
600,2871295,11784998
601,118865242,35430750
602,84880933,335587
603,2871295,17666040
604,2874205,14992150
605,2871678,209164569
606,56369081,18988104
607,21714843,123625563
608,16773387,2878772
609,2879848,12416811
610,55512363,118869512
611,118865242,10525027
612,146121224,118869865
613,2875102,2729701
614,24873259,18981111
615,25142303,2878623
616,15348166,2871295
617,84886187,91171292
618,7249536,2878772
619,2878623,17661921
620,2871295,5043935
621,205526027,2871678
622,10304670,2878772
623,10824641,2871678
624,118866320,10053821
625,153540254,18982341
626,123623002,3050143
627,10362089,2878623
628,52926482,18980811
629,123625563,266219
630,116985597,2224519
631,18984129,18476215
632,118865242,9688455
633,118865242,120471558
634,55174523,84887726
635,2870829,97006489
636,118865242,55091291
637,2871678,6045441
638,2878623,19908643
639,37339540,18989187
640,18655726,123622228
641,2876862,14093151
642,9277348,18980811
643,53953613,84880933
644,3615795,123625563
645,2874205,204496667
646,9632804,2878623
647,2877038,14646860
648,196643677,18985384
649,2871295,2810771
650,15398751,2874910
651,2878623,330600
652,122002802,94550656
653,2513717,84886010
654,2874048,17189451
655,118869512,55700526
656,118865242,54205027
657,202642071,2871678
658,2879270,20197517
659,2871295,41179051
660,96780119,94554780
661,118865639,14553468
662,21241525,84886782
663,2872613,17246806
664,116984026,94861397
665,1945037,2871678
666,2877363,3642048
667,119150431,123622426
668,3374252,123624419
669,3007381,2871678
670,6401029,2874048
671,12754226,2874113
672,211828909,84880280
673,18980380,159041510
674,2871678,11927906
675,123624419,120991349
676,53519223,123625612
677,2870252,7056065
678,11313891,2871844
679,2878623,25317761
680,4121991,18980811
681,20574812,2878623
682,6276698,2874456
683,3050143,123623002
684,94554780,205689340
685,5675756,118865242
686,2878772,18408268
687,123621236,16375592
688,123625503,3634067
689,174770930,2874205
690,214826731,118869865
691,123623002,95055078
692,22559400,118861402
693,2871678,11195966
694,18981201,12508200
695,206951136,2871678
696,215099562,2878772
697,18988104,56054937
698,7706301,2871295
699,123624419,55004527
700,118865242,15509590
701,18989713,16017425
702,118869865,115723159
703,2870252,13539019
704,46767065,123624419
705,2871678,1945037
706,9960292,2871678
707,46686764,2870829
708,18981358,5214096
709,25543148,2878623
710,2879053,10059642
711,24556916,84884060
712,84886782,21241525
713,2871295,22326224
714,2871678,6663247
715,125939517,123624419
716,16697618,84886782
717,2879270,61850342
718,72351032,2871678
719,18647267,118863056
720,16581554,84880210
721,52298606,2877272
722,26343703,118865242
723,116986641,122907385
724,18980811,16201973
725,42527356,2878623
726,33956334,118869512
727,17200631,2871295
728,19861500,2877272
729,94558998,6682880
730,2876274,79961185
731,2871896,2450087
732,19133726,84888593
733,124499085,123626539
734,16814026,118865242
735,42304843,118865242
736,18980811,5177093
737,2876862,16462748
738,2871678,6984969
739,118865242,27246036
740,84885648,56255709
741,18980380,195316976
742,18988104,4987128
743,2876274,21712872
744,135735505,84880210
745,118869865,118368127
746,96099168,94551461
747,84885803,3576695
748,19272194,18981358
749,2878772,6258250
750,18989187,1959906
751,2879270,81982244
752,84880039,21261060
753,2870829,39180034
754,49475002,2877021
755,55825634,84880280
756,2875502,18916836
757,18988104,14650182
758,94861397,116984026
759,125942873,118865242
760,215369998,18981111
761,18988104,199811257
762,2879270,207959855
763,40984076,2877363
764,17282032,2878772
765,56895353,18980380
766,18984674,8018578
767,84886010,2648882
768,13666152,2872613
769,18981201,20221208
770,2879270,55151642
771,2878623,9553852
772,2877021,199541364
773,2871844,210118603
774,2871844,6252809
775,17087942,123623002
776,84885702,91628893
777,58933383,2878772
778,5666247,2878772
779,2871295,9832108
780,18985384,196643677
781,2876862,25267780
782,2878623,2929085
783,19852198,2877272
784,2877363,7455740
785,2877521,3269385
786,18988104,6275505
787,203118838,147016855
788,205689340,94554780
789,118368127,118869865
790,118869512,110823063
791,118865242,26961805
792,84888128,17947316
793,30024271,2874205
794,84883172,59439979
795,84880933,239938
796,28250350,2876862
797,118865242,11969219
798,2877363,18394552
799,18982114,25074474
800,27428704,2871295
801,8804319,84880933
802,118865242,25081020
803,2871678,29288371
804,24971231,2871678
805,2874205,34054056
806,10544500,118865242
807,123625503,14584143
808,2878623,7697350
809,26690314,2879270
810,2878623,9412160
811,26014720,2875502
812,214975781,18989187
813,202130625,18980380
814,53705025,2874531
815,1677520,2878772
816,206487407,2876274
817,1823363,2874048
818,2871896,15763852
819,18989187,4055379
820,2871844,215482364
821,2879270,13474402
822,20294453,18984129
823,1488693,2871295
824,172134884,164941654
825,18988104,16466404
826,84880933,18476826
827,2876274,59061840
828,13325230,2879270
829,123621535,19646609
830,44048796,18980811
831,118864093,10621842
832,84886010,27597586
833,55456984,2871678
834,7479,2877021
835,2871678,6692954
836,13082294,2877021
837,35822957,2871678
838,94554780,42923522
839,16184981,2875502
840,9332370,18988104
841,199665542,119303304
842,2875102,114996568
843,2879848,142479152
844,117131653,118865242
845,7107932,2874113
846,18981201,16929752
847,135900901,94553485
848,2871678,20133927
849,81982244,2879270
850,19979701,18989187
851,159104,2871678
852,158415363,2872538
853,2870252,17102991
854,23390268,2871295
855,54508647,84880210
856,31561602,18989187
857,2871678,9157571
858,84884060,19794388
859,22480163,84888927
860,5839816,123624419
861,13484515,2875502
862,31818748,2874205
863,205174808,2871678
864,118865242,45951078
865,90999783,2871295
866,138886542,84880428
867,211530519,118865242
868,84881122,3038778
869,2870252,19069065
870,2871295,7706301
871,214846229,2875102
872,159574617,18982341
873,123625503,53019766
874,59944394,2871295
875,199665542,18417378
876,46073331,118865242
877,11236554,18988046
878,2876274,23028136
879,16702116,2874205
880,2871844,797008
881,84889268,21249243
882,2878623,208297110
883,79376472,2871844
884,2878772,215655713
885,7950361,2878772
886,51941204,2876862
887,21074234,2878623
888,2871295,46279765
889,31988354,118865242
890,2870252,111383077
891,2879621,6193873
892,4394007,2874360
893,20197517,2879270
894,53996774,2875502
895,72091673,18988046
896,2871678,55934744
897,32294515,118865242
898,202629214,118864667
899,2648882,84886010
900,9404352,84884060
901,123623002,73559621
902,2874456,51934285
903,94556645,41620129
904,18980463,201966468
905,18989187,16727002
906,19668713,2878623
907,34918997,2871295
908,214629887,164943220
909,18988104,14899315
910,2870454,70980559
911,18512083,2874910
912,9996554,2871678
913,2871295,207199311
914,2871295,9829277
915,117171828,2870859
916,2876274,4492104
917,13359905,84880210
918,2870542,4731161
919,123625307,53434638
920,2874205,18902195
921,55946245,2876274
922,123326070,2870829
923,2878623,25079962
924,53113626,2879270
925,2871295,55180556
926,2871678,2289513
927,2871678,14709951
928,42880939,2878538
929,118865242,17090052
930,18179018,18988104
931,20876617,123625612
932,2871678,5689857
933,208082671,118869512
934,214929875,94551461
935,181360247,94551461
936,36887028,2871533
937,2251364,18981358
938,13393553,2871678
939,212742195,2870252
940,25510626,2878623
941,2557260,18980380
942,2878623,38321712
943,2871295,4480510
944,2875502,3894387
945,100114677,2871678
946,133508892,84886121
947,3934375,18982114
948,123624419,119561674
949,34903907,123625612
950,46772294,18984455
951,145042170,18988046
952,14392245,2875502
953,2878623,145042397
954,27789795,2871844
955,84881740,35769895
956,16974066,118869865
957,2878772,214862914
958,84889339,1741806
959,94558998,10824415
960,17829107,2871896
961,18750656,2872613
962,11384657,118865242
963,2879270,64905330
964,1136414,2871678
965,2874048,2293178
966,56213522,18988104
967,2878623,39334447
968,2877363,208146213
969,84884060,467543
970,3661382,2878772
971,8388196,18982512
972,15601490,123620562
973,2871678,10748340
974,18982341,155789646
975,22703460,2878623
976,2874205,29286264
977,114044649,199660318
978,2878772,1803467
979,5242087,2874910
980,54470968,18985384
981,2877363,6997563
982,84883172,49908512
983,123622796,39140567
984,29223549,118861402
985,11805679,18980811
986,2870829,123326070
987,4717969,2875502
988,22439621,18981201
989,2871678,9960292
990,204203418,18988104
991,2878623,41056036
992,94556881,137830203
993,118869865,119189588
994,94556881,139593766
995,2871295,209516880
996,18988104,34579722
997,123624419,123530695
998,123625503,215057889
999,2871678,197641621
1000,2871678,15150802
1001,3642048,2877363
1002,2871295,10108583
1003,2874205,12213549
1004,214932428,2871295
1005,2871295,26310094
1006,215082267,2878623
1007,2873021,53407548
1008,2850044,84888128
1009,118865242,44220726
1010,2871295,23928070
1011,4987128,18988104
1012,118865242,196179414
1013,15000514,118865242
1014,84886187,215062241
1015,2874048,15021701
1016,17090052,118865242
1017,14668386,18988104
1018,84886187,86094304
1019,2871678,29267152
1020,91179064,18982341
1021,84889665,88917828
1022,2871678,2930071
1023,84880933,86147898
1024,18989187,37339540
1025,2871896,32639345
1026,53465098,84886187
1027,53019766,123625503
1028,2877363,45815996
1029,9895390,84888128
1030,83910196,123622228
1031,28564761,18988046
1032,2876862,41498019
1033,2878772,17282032
1034,3865262,2871678
1035,21831510,2874205
1036,199664249,54074395
1037,2874205,6920769
1038,2877363,29245554
1039,22997313,2878772
1040,55873176,123622228
1041,49908512,84883172
1042,84886311,3367089
1043,7665224,2871295
1044,7455740,2877363
1045,53245343,2874018
1046,202754377,2874048
1047,53070838,18988104
1048,123624419,118713840
1049,83868405,84884060
1050,122867950,118865242
1051,210706691,118865242
1052,9306610,94551157
1053,18980463,11628401
1054,13649405,84880089
1055,2870829,7263624
1056,18985171,13929772
1057,53449295,199661310
1058,2878623,16521982
1059,2876274,15456193
1060,2877363,8623769
1061,123623002,43151117
1062,2878623,7594506
1063,2870859,9386288
1064,2874205,208217703
1065,11989124,2871678
